,epoch,batch_no,loss,global_batch
0,1,1,2.9048871994018555,0
1,1,1000,1.32858407497406,1
2,1,2000,1.201877236366272,2
3,1,3000,1.057777762413025,3
4,1,4000,1.1011790037155151,4
5,1,5000,1.0451492071151733,5
6,1,6000,1.0229066610336304,6
7,1,7000,1.0916465520858765,7
8,1,8000,0.9101390242576599,8
9,1,9000,1.033918857574463,9
10,1,10000,0.9510655403137207,10
11,1,11000,0.9571318030357361,11
12,1,12000,0.8210846781730652,12
13,1,13000,0.9150035977363586,13
14,1,14000,0.9869385361671448,14
15,1,15000,0.9446023106575012,15
16,1,16000,0.9551969170570374,16
17,1,17000,0.9375751614570618,17
18,1,18000,0.8811850547790527,18
19,1,19000,0.974340558052063,19
20,1,20000,1.0134271383285522,20
21,1,21000,0.9308682680130005,21
22,1,22000,0.9128823280334473,22
23,1,23000,0.9632554054260254,23
24,1,24000,0.8643691539764404,24
25,1,25000,0.9324711561203003,25
26,1,26000,0.9119251370429993,26
27,1,27000,1.0002326965332031,27
28,1,28000,0.9045507907867432,28
29,1,29000,0.9503300786018372,29
30,1,30000,0.8558440804481506,30
31,1,31000,0.8495206236839294,31
32,1,32000,0.932094931602478,32
33,1,33000,0.9426650404930115,33
34,1,34000,0.9106642603874207,34
35,1,35000,0.8954007029533386,35
36,1,36000,0.9663441181182861,36
37,1,37000,0.8539474606513977,37
38,2,38000,0.9172950983047485,38
39,2,39000,0.9400465488433838,39
40,2,40000,0.8196072578430176,40
41,2,41000,0.8382508754730225,41
42,2,42000,0.891937255859375,42
43,2,43000,0.9901496767997742,43
44,2,44000,0.9127447605133057,44
45,2,45000,0.9208551049232483,45
46,2,46000,0.9147858023643494,46
47,2,47000,0.8979795575141907,47
48,2,48000,0.9161705374717712,48
49,2,49000,0.7817730903625488,49
50,2,50000,0.9518983960151672,50
51,2,51000,0.9796839952468872,51
52,2,52000,0.8574755787849426,52
53,2,53000,0.8865315914154053,53
54,2,54000,0.9343974590301514,54
55,2,55000,0.9038805365562439,55
56,2,56000,0.909862220287323,56
57,2,57000,0.974143922328949,57
58,2,58000,0.9013791084289551,58
59,2,59000,0.8997012376785278,59
60,2,60000,0.9176042079925537,60
61,2,61000,0.9015616178512573,61
62,2,62000,0.9587062001228333,62
63,2,63000,0.8943759799003601,63
64,2,64000,0.9980783462524414,64
65,2,65000,0.9144505262374878,65
66,2,66000,0.9604520201683044,66
67,2,67000,0.9186097979545593,67
68,2,68000,0.9937074184417725,68
69,2,69000,0.936284065246582,69
70,2,70000,0.8403148651123047,70
71,2,71000,0.9512060880661011,71
72,2,72000,0.9081951379776001,72
73,2,73000,0.8711966872215271,73
74,2,74000,0.9304367303848267,74
