,epoch,batch_no,loss,global_batch
0,1,1,0.23265045881271362,0
1,1,1000,0.23860260844230652,1
2,1,2000,0.2654361128807068,2
3,1,3000,0.3345615863800049,3
4,1,4000,0.2439568191766739,4
5,1,5000,0.25531458854675293,5
6,1,6000,0.2624126374721527,6
7,1,7000,0.2862919270992279,7
8,1,8000,0.20174553990364075,8
9,1,9000,0.2215009480714798,9
10,1,10000,0.21019817888736725,10
11,1,11000,0.2510826587677002,11
12,1,12000,0.19106268882751465,12
13,1,13000,0.26705604791641235,13
14,1,14000,0.26487159729003906,14
15,1,15000,0.2207319289445877,15
16,1,16000,0.1847696751356125,16
17,1,17000,0.24790838360786438,17
18,1,18000,0.2464362233877182,18
19,1,19000,0.25251850485801697,19
20,1,20000,0.1946266144514084,20
21,1,21000,0.22328044474124908,21
22,1,22000,0.2595372200012207,22
23,1,23000,0.21888990700244904,23
24,1,24000,0.2198057770729065,24
25,1,25000,0.2160671502351761,25
26,1,26000,0.2642817795276642,26
27,1,27000,0.1783396452665329,27
28,1,28000,0.2020856738090515,28
29,1,29000,0.20088453590869904,29
30,1,30000,0.21992501616477966,30
31,1,31000,0.2324855476617813,31
32,1,32000,0.19182781875133514,32
33,1,33000,0.20620481669902802,33
34,1,34000,0.2973092496395111,34
35,1,35000,0.19249960780143738,35
36,1,36000,0.2503797709941864,36
37,1,37000,0.19070543348789215,37
38,2,38000,0.2243623286485672,38
39,2,39000,0.2551627457141876,39
40,2,40000,0.21666613221168518,40
41,2,41000,0.1285865306854248,41
42,2,42000,0.1827062964439392,42
43,2,43000,0.20431002974510193,43
44,2,44000,0.19593439996242523,44
45,2,45000,0.19196376204490662,45
46,2,46000,0.19073842465877533,46
47,2,47000,0.2145843803882599,47
48,2,48000,0.18759025633335114,48
49,2,49000,0.1939820647239685,49
50,2,50000,0.21105925738811493,50
51,2,51000,0.16313107311725616,51
52,2,52000,0.2045975923538208,52
53,2,53000,0.16939663887023926,53
54,2,54000,0.19953367114067078,54
55,2,55000,0.15132051706314087,55
56,2,56000,0.27575257420539856,56
57,2,57000,0.21814626455307007,57
58,2,58000,0.23021002113819122,58
59,2,59000,0.2618163824081421,59
60,2,60000,0.19999127089977264,60
61,2,61000,0.23433005809783936,61
62,2,62000,0.18682779371738434,62
63,2,63000,0.179630309343338,63
64,2,64000,0.11690573394298553,64
65,2,65000,0.21280522644519806,65
66,2,66000,0.187764972448349,66
67,2,67000,0.17529426515102386,67
68,2,68000,0.14060968160629272,68
69,2,69000,0.22197115421295166,69
70,2,70000,0.14551694691181183,70
71,2,71000,0.1882483810186386,71
72,2,72000,0.2314814180135727,72
73,2,73000,0.1794850379228592,73
74,2,74000,0.20906327664852142,74
