,epoch,batch_no,loss,global_batch
0,1,1,2.888016939163208,0
1,1,1000,1.4056581258773804,1
2,1,2000,1.2638641595840454,2
3,1,3000,1.1838841438293457,3
4,1,4000,1.1047810316085815,4
5,1,5000,1.081531047821045,5
6,1,6000,0.9072372317314148,6
7,1,7000,1.1822785139083862,7
8,1,8000,1.056380033493042,8
9,1,9000,0.9552032351493835,9
10,1,10000,1.127971887588501,10
11,1,11000,0.9800186157226562,11
12,1,12000,1.0557963848114014,12
13,1,13000,0.9270371198654175,13
14,1,14000,0.8368489742279053,14
15,1,15000,0.948171079158783,15
16,1,16000,0.8934364318847656,16
17,1,17000,0.7251977920532227,17
18,1,18000,0.8091260194778442,18
19,1,19000,0.8609976768493652,19
20,1,20000,0.6834486126899719,20
21,1,21000,0.8269484639167786,21
22,1,22000,0.9172662496566772,22
23,1,23000,0.9546823501586914,23
24,1,24000,0.6812747716903687,24
25,1,25000,0.9247193336486816,25
26,1,26000,0.8825784921646118,26
27,1,27000,0.7571744322776794,27
28,1,28000,0.800489604473114,28
29,1,29000,0.9509274363517761,29
30,1,30000,0.7865336537361145,30
31,1,31000,0.8140425086021423,31
32,1,32000,0.8517240285873413,32
33,1,33000,1.0489975214004517,33
34,1,34000,0.9697717428207397,34
35,1,35000,0.7839304804801941,35
36,1,36000,0.78448086977005,36
37,1,37000,0.7836639285087585,37
38,2,38000,0.8305188417434692,38
39,2,39000,0.8422591090202332,39
40,2,40000,0.7764291167259216,40
41,2,41000,0.6900877356529236,41
42,2,42000,0.8207216262817383,42
43,2,43000,0.9121429920196533,43
44,2,44000,0.8671892881393433,44
45,2,45000,0.9701488614082336,45
46,2,46000,0.699389636516571,46
47,2,47000,0.8947185277938843,47
48,2,48000,0.7846367955207825,48
49,2,49000,0.9197989702224731,49
50,2,50000,0.6635539531707764,50
51,2,51000,0.7679146528244019,51
52,2,52000,0.8573786616325378,52
53,2,53000,0.756895124912262,53
54,2,54000,0.6847665905952454,54
55,2,55000,0.8718349933624268,55
56,2,56000,0.8456718921661377,56
57,2,57000,0.6408106088638306,57
58,2,58000,0.7696525454521179,58
59,2,59000,0.7334701418876648,59
60,2,60000,0.6340551376342773,60
61,2,61000,0.8444727659225464,61
62,2,62000,0.7612484097480774,62
63,2,63000,0.7683976888656616,63
64,2,64000,0.737992525100708,64
65,2,65000,0.9420040845870972,65
66,2,66000,0.6158673763275146,66
67,2,67000,0.755634605884552,67
68,2,68000,0.7184715270996094,68
69,2,69000,0.7249108552932739,69
70,2,70000,0.5523700714111328,70
71,2,71000,0.6928286552429199,71
72,2,72000,0.6639404892921448,72
73,2,73000,0.7198395133018494,73
74,2,74000,0.8916622400283813,74
