,epoch,batch_no,loss,global_batch
0,1,1,2.8937721252441406,0
1,1,1000,0.8965322375297546,1
2,1,2000,0.6713408827781677,2
3,1,3000,0.578893780708313,3
4,1,4000,0.5693400502204895,4
5,1,5000,0.5705723762512207,5
6,1,6000,0.449531614780426,6
7,1,7000,0.4087868332862854,7
8,1,8000,0.47423115372657776,8
9,1,9000,0.39944198727607727,9
10,1,10000,0.4440712034702301,10
11,1,11000,0.37471088767051697,11
12,1,12000,0.34477347135543823,12
13,1,13000,0.34304121136665344,13
14,1,14000,0.30082523822784424,14
15,1,15000,0.2805105447769165,15
16,1,16000,0.2737618684768677,16
17,1,17000,0.2761349678039551,17
18,1,18000,0.3068866729736328,18
19,2,19000,0.2536807358264923,19
20,2,20000,0.20352190732955933,20
21,2,21000,0.2358299046754837,21
22,2,22000,0.2543337345123291,22
23,2,23000,0.2454296201467514,23
24,2,24000,0.20872873067855835,24
25,2,25000,0.1997663676738739,25
26,2,26000,0.19849389791488647,26
27,2,27000,0.16080540418624878,27
28,2,28000,0.16619910299777985,28
29,2,29000,0.2000816911458969,29
30,2,30000,0.16319794952869415,30
31,2,31000,0.1440093070268631,31
32,2,32000,0.21062715351581573,32
33,2,33000,0.18589834868907928,33
34,2,34000,0.17043130099773407,34
35,2,35000,0.1039324551820755,35
36,2,36000,0.14851360023021698,36
37,2,37000,0.11954580247402191,37
38,3,38000,0.12694156169891357,38
39,3,39000,0.18028463423252106,39
40,3,40000,0.13868707418441772,40
41,3,41000,0.1436590850353241,41
42,3,42000,0.13670143485069275,42
43,3,43000,0.17140258848667145,43
44,3,44000,0.10573241114616394,44
45,3,45000,0.12323816120624542,45
46,3,46000,0.1676281988620758,46
47,3,47000,0.12777477502822876,47
48,3,48000,0.12571677565574646,48
49,3,49000,0.09675540775060654,49
50,3,50000,0.09321502596139908,50
51,3,51000,0.1087486743927002,51
52,3,52000,0.10712800174951553,52
53,3,53000,0.10004919022321701,53
54,3,54000,0.11693356186151505,54
55,3,55000,0.08046135306358337,55
56,4,56000,0.12264914810657501,56
57,4,57000,0.0680224597454071,57
58,4,58000,0.08911681175231934,58
59,4,59000,0.08033551275730133,59
60,4,60000,0.1238831877708435,60
61,4,61000,0.14922897517681122,61
62,4,62000,0.09571735560894012,62
63,4,63000,0.08898365497589111,63
64,4,64000,0.08838991075754166,64
65,4,65000,0.11871317774057388,65
66,4,66000,0.0897265151143074,66
67,4,67000,0.10833706706762314,67
68,4,68000,0.06354859471321106,68
69,4,69000,0.07901410013437271,69
70,4,70000,0.10751195251941681,70
71,4,71000,0.09337006509304047,71
72,4,72000,0.13419118523597717,72
73,4,73000,0.07340772449970245,73
74,4,74000,0.09010426700115204,74
75,5,75000,0.07706241309642792,75
76,5,76000,0.06586006283760071,76
77,5,77000,0.11356782913208008,77
78,5,78000,0.07538429647684097,78
79,5,79000,0.07930246740579605,79
80,5,80000,0.05470495671033859,80
81,5,81000,0.07010724395513535,81
82,5,82000,0.05534030497074127,82
83,5,83000,0.07314381748437881,83
84,5,84000,0.08418028801679611,84
85,5,85000,0.05741330608725548,85
86,5,86000,0.09659923613071442,86
87,5,87000,0.08074939996004105,87
88,5,88000,0.09738129377365112,88
89,5,89000,0.10346011072397232,89
90,5,90000,0.0499492809176445,90
91,5,91000,0.06136506050825119,91
92,5,92000,0.065016970038414,92
93,6,93000,0.05679388344287872,93
94,6,94000,0.07034412771463394,94
95,6,95000,0.053957708179950714,95
96,6,96000,0.0664442926645279,96
97,6,97000,0.05724471062421799,97
98,6,98000,0.09394213557243347,98
99,6,99000,0.04243434593081474,99
100,6,100000,0.10143673419952393,100
101,6,101000,0.053001172840595245,101
102,6,102000,0.04175302013754845,102
103,6,103000,0.08642971515655518,103
104,6,104000,0.06447359174489975,104
105,6,105000,0.06447349488735199,105
106,6,106000,0.07756391167640686,106
107,6,107000,0.03846023604273796,107
108,6,108000,0.06772594153881073,108
109,6,109000,0.06526987254619598,109
110,6,110000,0.0761273130774498,110
111,6,111000,0.06263761967420578,111
112,7,112000,0.05360553413629532,112
113,7,113000,0.06397770345211029,113
114,7,114000,0.0448768250644207,114
115,7,115000,0.026905899867415428,115
116,7,116000,0.041548553854227066,116
117,7,117000,0.06666868925094604,117
118,7,118000,0.061672549694776535,118
119,7,119000,0.040488358587026596,119
120,7,120000,0.04849562048912048,120
121,7,121000,0.0673849880695343,121
122,7,122000,0.0703343003988266,122
123,7,123000,0.06466278433799744,123
124,7,124000,0.05274633318185806,124
125,7,125000,0.05967762693762779,125
126,7,126000,0.06205879896879196,126
127,7,127000,0.07479313760995865,127
128,7,128000,0.030845332890748978,128
129,7,129000,0.05986873432993889,129
130,8,130000,0.03875918313860893,130
131,8,131000,0.04471030831336975,131
132,8,132000,0.06512615084648132,132
133,8,133000,0.06330930441617966,133
134,8,134000,0.05046117305755615,134
135,8,135000,0.04793832078576088,135
136,8,136000,0.053541429340839386,136
137,8,137000,0.018951551988720894,137
138,8,138000,0.051106926053762436,138
139,8,139000,0.07428857684135437,139
140,8,140000,0.044499050825834274,140
141,8,141000,0.051737673580646515,141
142,8,142000,0.05505593121051788,142
143,8,143000,0.03655613958835602,143
144,8,144000,0.06796465814113617,144
145,8,145000,0.07023581862449646,145
146,8,146000,0.04638458788394928,146
147,8,147000,0.04670532047748566,147
148,8,148000,0.03928748145699501,148
149,9,149000,0.04498989135026932,149
150,9,150000,0.03958520665764809,150
151,9,151000,0.12059065699577332,151
152,9,152000,0.06507787108421326,152
153,9,153000,0.03321481868624687,153
